OpenUXbuild,Data-driven approaches to the constructed user experience,,,,,,,,
Stage:,(Sandbox | Development | Staging | Production),,,,,,,,
Description:,Your project description here.,,,,,,,,
Date,Status,Process,Master Notes,Project,Status,Date,Notes,Code,Example(s)
0/0/14,,Tier 2 html template into theme ?(Changed the index to the inderior as main Drupal theme),,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,Changed the index to the inderior as main Drupal theme,,,,,,,
,,"Top Nav is appearing and reappearing on scroll down, I will disable thisHad to change back all the z-indexes to keep the main nav sticky at top and on top zindex.",,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,Progress report on development for meeting. Proposed progress weeks of...,,,,,,,
,,,,,,,,,
,,Theme Build,,,,,,,
,,Basic Page,,,,,,,
,,Articles,,,,,,,
0/0/14,,"Basic Functionality: Admin, Users, Anonymous",,,,,,,
0/0/14,,Dynamic Menus,,,,,,,
0/0/14,,"Hi, Andy and Noah, As discussed",,,,,,,
,,I've added some Basic Page started content to istdrupaldev.ist.psu.edu to populate the Main Menu and the menu that is at the very top of the theme which I created and called Top Navigation Menu.,,,,,,,
,,Then I added the Drupal Regions to page.tpl.php so these two Drupal menus would display in the theme just above the static html/css menus which you can see (expanded the menus currently overlap).,,,,,,,
,,I haven't done anything yet with the side javascript menu. I figured we can tackle that after the first two are working.,,,,,,,
,,"Drupal Main Nav (1) styled so it's dynamic, delete static menu code",,,,,,,
,,"Main Menu, (Andy) as a way to extract only the raw data from a drupal menu system and use our template html code https://www.drupal.org/node/1033442#comment-5076932 — Note: we didn’t go this route. We added started content, then restyled the Drupal output from the Drupal menus, all in theme.css.",,,,,,,
,,As needed: help from:,,,,,,,
,,Media Barn Drupal Developer,,,,,,,
,,"Devel Settings > Uncheck ""Rebuild the theme registry on every page load"" http://istdrupaldev.ist.psu.edu/?q=admin/config/development/devel",,,,,,,
,,"Secondary (Top Navigation Menu) nav 2 styled so it's dynamic, delete static menu code",,,,,,,
,,"Tertiary (Side Navigation Menu) nav 3 styled so it's dynamic, delete static menu code",,,,,,,
0/0/14,,Install and get running with Andy’s new css and js code (see his email 9/17/14),,,,,,,
0/0/14,,Make new css and Js responsive menus,,,,,,,
0/0/14,,Get search working https://git.psu.edu/ema13/psu-drupal-search-block/tree/psu_search-7.20-dev,,,,,,,
,,copy in new theme.css as needed,,,,,,,
,,copy in new main.js from as needed,,,,,,,
,,make code changes in header.php as needed,,,,,,,
0/0/14,,update theme.css to fit Top Nav at top,,,,,,,
,,#block-menu-menu-top-navigation-menu .content .menu {,,,,,,,
,,width: 100%;,,,,,,,
,,margin-top: 0px;,,,,,,,
,,margin-bottom: 0px;,,,,,,,
,,list-style: none;,,,,,,,
,,position: absolute;,,,,,,,
,,top: -170px; —— changed from 20px;,,,,,,,
,,text-align: right; },,,,,,,
,,,,,,,,,
0/0/14,,"Index Screen (""home page"")",,,,,,,
,,Create the index page from template and then force the Drupal home page in admin option,,,,,,,
,,News items into slider,,,,,,,
,,Content selections into graphical teaser boxes,,,,,,,
,,news,,,,,,,
,,announcements,,,,,,,
,,events,,,,,,,
,,,,,,,,,
0/0/14,,Breadcrumbs??,,,,,,,
,,,,,,,,,
0/0/14,,User profiles (self edit),,,,,,,
0/0/14,,"Display Directories, Groups, Users",,,,,,,
,,,,,,,,,
0/0/14,,Mobile Icons,,,,,,,
,,iphone,,,,,,,
,,Android[ ],,,,,,,
,,Windows Phone[ ],,,,,,,
,,Firefox OS[ ],,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,Existing Themes Installed,,,,,,,
,,Build out main sections with manually migrated content,,,,,,,
,,Match styles and UI to plans,,,,,,,
,,Sub theme or custom.css file for css customization,,,,,,,
,,,,,,,,,
,,favicon ,,,,,,,
,,mobile icons,,,,,,,
,,iphone,,,,,,,
,,Android[ ],,,,,,,
,,Windows Phone[ ],,,,,,,
,,Firefox OS[ ],,,,,,,
,,,,,,,,,
,,,,,,,,,
CONTENT,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,Copy all resuable content from old site to text file,or use 3rd party content content management environment for multiple CPs or large amount of content,,,,,,
,,Add this content to new nodes as needed,,,,,,,
,,Create all new content types that are used in old site/needed in new site. For example:,,,,,,,
,,Dataset,,,,,,,
,,Forum Topic,,,,,,,
,,Group,,,,,,,
,,Member Organization,,,,,,,
,,News & Information,,,,,,,
,,Publication & Presentation,,,,,,,
,,Webform,,,,,,,
,,,,,,,,,
,,New Drupal Menu(s) configured & populated with revised content,content pulled from text file or system mentioned above,,,,,,
,,Superfish Dropdown menus with rollovers,,,,,,,
,,Maps,as needed,,,,,,
,,Datasets,as needed,,,,,,
,,Create “Member Center” menu for users to interact with site,,,,,,,
,,Configure Homebox (m) or Workbench (m) ,"for admins, CP (For multi CP sites)",,,,,,
,,Add all content types to Member Center that are needed,see content type list above,,,,,,
,,Restyle css to make list of links more compact and tweak,,,,,,,
,,,,,,,,,
,,,,,,,,,
MEDIA,,,,,,,,,
KEYWORDS,"Creative, Technical, Documentary, Critical, Text, Image, Video, Audio, Data, Data Visualization, Image Formats, Streaming",,,,,,,,
0/0/14,,Images,,,,,,,
,,Web optimized,,,,,,,
,,Genome Mapping,,,,,,,
,,,,,,,,,
0/0/14,,Video,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DATABASE,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,What needs to come over?,Large sets of users for example,,,,,,
,,optimized,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
USERS,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,Create Roles,,,,,,,
,,Admin,,,,,,,
,,Custom User Groups of any kind,,,,,,,
,,Authenticated User,,,,,,,
,,Anonymous User,,,,,,,
,,User profiles (self edit),,,,,,,
,,"Display Directories, Groups, Users",,,,,,,
,,,,,,,,,
,,,,,,,,,
COMMUNICATIONS,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,MAIL CONFIGS,,,,,,,
,,"Main module config for html emails, custom to this site, etc.",,,,,,,
,,Mail Lists setup,,,,,,,
,,Edit stock Drupal messages - User friendly messages,,,,,,,
,,"Mandrill email config, Sendgrid",as needed,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PERFORMANCE,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,Optimize site for speed ,,,,,,,
,,Performance Cache settings (Drupal),Admin > Config > Performance > All caching settings,,,,,,
,,"Under Performance, set Caching mode to normal",,,,,,,
,,Minimum Cache lifetime to 0,,,,,,,
,,Gzip Page Compression is enabled,,,,,,,
,,Block Cache is enabled,,,,,,,
,,Optimize CSS is on full ,,,,,,,
,,Optimize JavaScrip is enabled,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Go through this list -->,https://www.drupal.org/node/1008690 ,,,,,,
,,Boost (m) - great for speeding up *anonymous* traffic,"http://drupal.org/project/boost , drupal Boost module makes a huge difference for non-authenticated users. Not so much for authenticated users.",,,,,,
,,,,,,,,,
,,,,,,,,,
,,"In Themes, the rebuild theme registry option is unchecked.",,,,,,,
,,Cache Views - Block caching (2 settings in Views > Advanced...,http://www.millwoodonline.co.uk/blog/drupal-7-performance-gains-with-views-cache,,,,,,
,,,,,,,,,
,,Optimize the database,"Please see this article on how to repair/optimize your database. (this is very easy for anyone to do)
https://my.bluehost.com/cgi/help/496",,,,,,
,,MySQL Slow Queries.  You can find these as well in your tmp/mysql_slow_queries directory,,,,,,,
,,,,,,,,,
,,Timeless Domain's list of modules (4 yrs old),https://www.drupal.org/node/1008690 ,,,,,,
,,http://drupal.org/node/326504,,,,,,,
,,http://groups.drupal.org/node/21897,,,,,,,
,,http://colans.net/blog/drupal-7-performance-optimization-options-and-checklist,,,,,,,
,,Increase PHP memory allocation,"you can probably up the amount of memory allocated to php, which is a good start, and your host should advise on the correct way",,,,,,
,,installed Yslow on Mac Air for testing,,,,,,,
,,,,,,,,,
,,Js at bottom as much as possible,,,,,,,
,,Using CDN where possible,https://www.cloudflare.com/plans,,,,,,
,,Drupal CDN (m),https://www.drupal.org/project/cdn,,,,,,
,,,,,,,,,
,,Page load time test,http://pagespeedgrader.com/,,,,,,
,,,(11/4/14) C,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Loading elements test,http://tools.pingdom.com,,,,,,
,,,(11/4/14) Grade: 85/100; Req: 78; Load Time: 2.44 s; Page Size: 7.0MB,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Run Yslow test,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Drupal CDN (m),https://www.drupal.org/project/cdn,,,,,,
,,Page load time test,http://pagespeedgrader.com/,,,,,,
,,Loading elements test,http://tools.pingdom.com,,,,,,
,,,,,,,,,
,,New Relec Browser testing (???),http://newrelic.com/browser-monitoring,,,,,,
,,,,,,,,,
SECURITY,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,Security modules and testing,(see modules list),,,,,,
,,OWASP suggestions and tools,see their project site regularly,,,,,,
,,Security alerts,https://drupal.org/security,,,,,,
,,Drupal handling of security issues,https://drupal.org/node/1751076,,,,,,
,,DrupalScout,http://drupalscout.com/,,,,,,
,,,,,,,,,
,,Testing Tools:,,,,,,,
,,VEGA Scanner: Vulnerability Scanner,,,,,,,
,,Zap: OWASP Penetration tool,,,,,,,
,,"CSF: Firewall and email protection, serve configuration",,,,,,,
,,Nessus Scanner: Monitor and Scan Server,,,,,,,
,,,,,,,,,
,,There are some tools for specific vulnerabilities as well: ,,,,,,,
,,A1 SQL Injection: SQL Inject Me browser plugin,,,,,,,
,,A2 Cross Site Scripting(XSS): This is tested with zap,,,,,,,
,,A3 Broken Authentication and Session Management: HackBar browser plugin,,,,,,,
,,A4 Insecure Direct Object Reference: Burp,,,,,,,
,,A5 Cross-Site Request Forgery (CSRF): Tamper Data browser plugin,,,,,,,
,,A6 Security Misconfiguration: Watobo,,,,,,,
,,A8 Failure to restrict URL Access: Nikto/Witkto,,,,,,,
,,A9 Insufficient Transport Layer Protection: Calomel,,,,,,,
,,A10 Unvalidated Redirects and Forwards: Watcher,,,,,,,
,,,,,,,,,
,,Basic rules: ,,,,,,,
,,Requirement 1. Install and Maintain a Firewall!,,,,,,,
,,Requirement 2. Do Not Use Vendor Supplied Default Passwords!,,,,,,,
,,Requirement 3. Protect Stored Data!,,,,,,,
,,"Requirement 4. Encrypt transmission of cardholder data across open, public networks",,,,,,,
,,Requirement 5. Use and regularly update anti-virus software or programs!,,,,,,,
,,Requirement 6. Develop and maintain secure systems and applications!,,,,,,,
,,Requirement 7. Restrict access to cardholder data by business need-to-know!,,,,,,,
,,Requirement 8. Assign a unique ID to each person with computer access!,,,,,,,
,,Requirement 9. Restrict physical access to cardholder data!,,,,,,,
,,Requirement 10. Track and monitor all access to network resources and cardholder data!,,,,,,,
,,Requirement 11. Regularly test security systems and processes!,,,,,,,
,,Requirement 12. Maintain a policy that addresses information security for all personnel!,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ACCESSIBILITY,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,WCAG 2.0,http://www.w3.org/WAI/,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
SEO,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,SEO Google Webmaster Tools,,,,,,,
,,SEO Checklist (m) ,,,,,,,
,,,,,,,,,
,,My master SEO checklist,"SEO helps in improving SER in all major leading Web search engines including Google, Bing, Yahoo, and Baido (China). The following is a report of what is currently being done by the Office of IT since mid-2012 to the present to optimize ist.psu.edu for internal (searching within the site) and external (searching externally with an outside search engine for/to the site) search and, therefore, search engine rankings.",,,,,,
,,SEO (internal),,,,,,,Our site uses the stock Plone CMS to optimize the site for internal search. Many of the practices included below for external search are implemented for and aid in optimizing internal search.
,,,,,,,,,
,,SEARCH ENGINE OPTIMIZATION (SEO) PRACTICE,,,,,,,
,,,,,,,,,
,,Google (other engines) knows the site,,,,,,,
,,"Good IA, Googlebots have site map, crawl site well",,,,,,,
,,Page Load Time: 0.00 Seconds,,,,,,,
,,"Alt tags (unique, accurate)",,,,,,,
,,"Title tags (unique, accurate)",,,,,,,
,,Head tags,,,,,,,
,,"Meta tag Descriptions, <=160 words, each page",,,,,,,
,,Optimizing Content,Write better anchor text to match desired affinity keywords,,,,,,
,,,Needs to be specified and continued actively by content providers.,,,,,,
,,,EXAMPLE: searching Google for “IST” results in #1 ranking,,,,,,
,,,EXAMPLE: searching Google for “information science college” results in #5 ranking,,,,,,
,,Meta tag keywords (depricated),Google doesn't use keywords (http://support.google.com/webmasters/bin/answer.py?hl=en&answer=79812),,,,,,
,,,"Bing uses them only as a spam signal, not for ranking",,,,,,
,,,Yahoo doesn't use at all,,,,,,
,,Key terms density,"Keyword density: Some search engines examine keyword density. The designer should ensure that keywords in the site appear frequently in the content. Keywords should be included in the alternative text, titles, headings, table headings, and throughout paragraphs when you work with a page’s subject matter and content. Other strategies may include naming images, folders, and pages after keywords.",,,,,,
,,Anchor vocabulary in site,"Anchor keywords are used to capitalize on the benefits of keywords and inbound links. Try to use keywords as links that can be found in the flow of a paragraph. If the user clicks on a keyword, the user is redirected to a section of the site where further details about the keyword are highlighted. If, for example, you design a site about widgets and include “blue widgets” as one type of product that is offered, create a link for the blue widgets keyword that will take the user to the associated product page. This is beneficial for SEO as well as for usability. Part of the reason Wikipedia appears at the top of many search engine results is because it anchors its keywords.",,,,,,
,,Make effective use of robots.txt,,,,,,,
,,"Good (readable, accurate) URLs (Plone)",,,,,,,
,,"Be aware of rel=""nofollow"" for links (Plone)",,,,,,,
,,"SEO for Mobile Phones (Plone, Responsive)",,,,,,,
,,"Guide mobile users accurately (Plone, Responsive)",,,,,,,
,,Promotions and Google Analytics (Monthly),,,,,,,
,,"""Promote your website in the right ways""",,,,,,,
,,If-Modified-Since HTTP header,Make sure the web server supports the If-Modified-Since HTTP header. Saves bandwidth/caching,,,,,,
,,,,,,,,,
,,"<meta name =""author"" content =""Willy Widgets"">
 <meta name =""robots"" content =""follow,index"">",,,,,,,
,,,,,,,,,
,,Optimize Js and CSS (also in Performance checklist),"JavaScript: Be careful that your page is not cluttered with too much JavaScript that, if not put in a separate file, can negatively impact SEO (just as it does with the CSS). Try using external JavaScript files instead.",,,,,,
,,,,,,,,,
,,Persistent Links,"Persistent links: Often designers will create persistent links on a page. These could appear in a variety of locations, but persistent links are most frequently found in the footer. Persistent links are beneficial for both usability and SEO. There is one caveat: If persistent links appear on every page of the site, yet they link to a page with fewer than 300 unique words on it, search engines can discount the relevance of that page due to its similarity to other pages that point to it, so be cautious in selecting your persistent links.",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,SEO (external),"The following page is the exhaustive list of time-tested, industry standard best practices for SEO across leading search platforms. The Office of IT currently maintains these practices in an ongoing basis.",,,,,,
,,,,,,,,,
,,,,,,,,,
,,SEARCH ENGINE RANKINGS (SER) PRACTICES,,,,,,,
,,EVERYTHING IN SEO PLUS:,,,,,,,
,,,,,,,,,
,,Number of inbound links,Links on other quality Web sites (http://www.google.com/technology),,,,,,
,,Quality of inbound links,"Links pointing to your site should have the relevant keyword text in them, it will cause your page to be ranked higher in search engine results.",,,,,,
,,,"For example, a link with the text ""information technology college"" pointing at your site will cause your site to be listed earlier if a visitor searches for ""information technology college"" than if the link simply said ""click here"" or ""IST"".",,,,,,
,,,Good:,,,,,,
,,,"1. Penn State <a href=""http://ist.psu.edu"" title=""Penn State College of Information Sciences and Technology"" target=""new"">College of Information Sciences and Technology</a>",,,,,,
,,,"2. <a href=""http://ist.psu.edu"" title=""Penn State College of Information Sciences and Technology"" target=""new"">information technology college</a>",,,,,,
,,,Not so good:,,,,,,
,,,"1. <a href=""http://ist.psu.edu"" title=""Penn State College of Information Sciences and Technology"" target=""new"">Click here</a>",,,,,,
,,,"2. <a href=""http://ist.psu.edu"" title=""Penn State College of Information Sciences and Technology"" target=""new"">information technology college</a>",,,,,,
,,,,,,,,,
,,Google Adwords,"buy advertisements (called Google Adwords) on your keywords, *the only guarantee",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Net magazine list (20 Best Drupal Modules for SEO),http://www.creativebloq.com/20-best-drupal-modules-seo-6133890,,,,,,
,,,,,,,,,
,,,,,,,,,
PLATFORM TESTING,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,Platform Testing,We’re excited to announce that the latest devices and browsers are now on BrowserStack!,,,,,,
,,,Future proof your website today. Start a testing session with one click.,,,,,,
,,,"1. Test on the new Android Lollipop on Nexus 5. We’ve also added Android 4.3 and 4.4 on 8 new devices, like Galaxy S5 and Kindle Fire HDX 7.",,,,,,
,,,"2. Check out iOS 8 on iPhone 6 Plus. Or on iPhone 6, iPad Mini 2 or iPad Air. It’s way different from iOS 7.",,,,,,
,,,"3. Give Safari 8 a whirl on Yosemite. It has a revamped UI, so check out how it affects your site design.",,,,,,
,,,,,,,,,
,,Retina testing,Retinafy your site,,,,,,
,,,http://retinafy.me/,,,,,,
,,,,,,,,,
USER ANALYTICS,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,Google Analytics,"conifgure, send reports monthly, etc.",,,,,,
,,OWA (m),,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PRE-LAUNCH,,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,Get new Mollom API keys (from mollom.com) [ ]and configure Mollom module[ ],If needed for production,,,,,,
,,Check CKEditor/CKFinder ,$cookie_domain is ok in Status Report,,,,,,
,,"Homebox (m) or Workbench (m) for admins, CP",confirm workflow is optimized,,,,,,
,,"Logging and errors, Dont show users errors, error pge custom",,,,,,,
,,Drupal best practices,https://www.drupal.org/best-practices,,,,,,
,,,,,,,,,
,,"Version control, Push to Git",This can be done multiple times throughout the project.,,,,,,
,,,,,,,,,
,,,,,,,,,
"PUSH TO REMOTE (""DEV, STAGING, PRODUCTION"")",,,,,,,,,
KEYWORDS,"Efficiency, Performance, Lightweight, Stability, Reconciling Project and Host, Security",,,,,,,,
0/0/14,,Domain propagation,,,,,,,
,,Push files and database to Remote and configure,,,,,,,
,,,,,,,,,
,,,,,,,,,
"REMOTE (""DEV, STAGING, PRODUCTION"") TESTING",,,,,,,,,
KEYWORDS,,,,,,,,,
0/0/14,,Remote Security check,"(see list above) AND FIND ""Going to remote"" security checklist",,,,,,
,,Remote Performance Check,,,,,,,
,,Remote Platform Tests,,,,,,,
,,,,,,,,,
,,,,,,,,,
"MAINTENANCE & IMPROVEMENTS (Local/Sandbox fist, Production second)",,,,,,,,,
KEYWORDS,"Maintenance, Workflow, Teaching and Learning, Analytics, Web Education, Web and Internet Policy",,,,,,,,
0/0/14,,Continued security testing,see list in Security,,,,,,
,,Continued analytics analysis,,,,,,,
,,"Continued site maintenance, status reports, module/theme updates",,,,,,,
,,Improvements,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Features (m) - duplicate setups multiple sites,as needed,,,,,,
,,,,,,,,,
,,Drupal Core Updates,,,,,,,
,,Drupla Module Updates,,,,,,,
,,,,,,,,,
,,,,,,,,,
INSTRUCTION & DOCUMENTATION,,,,,,,,,
KEYWORDS,"Maintenance, Workflow, Teaching and Learning, Analytics, Web Education, Web and Internet Policy",,,,,,,,
0/0/14,,Send welcome message to users with necessary information.,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCI RESEARCH,,,,,,,,,
KEYWORDS,"Media Philosophy, Health, Freedom of Speech, Policy, Health, Economics",,,,,,,,
0/0/14,,Biomedical data collection & analysis,,,,,,,
,,EEG,,,,,,,
,,EKG,,,,,,,
,,EMG,,,,,,,
,,EOG,,,,,,,
,,GSR,,,,,,,
,,Eye Tracking,,,,,,,
,,,,,,,,,
,,,,,,,,,
POLICY,,,,,,,,,
KEYWORDS,"Net Neutrality, Open Source, Democracy, Ant-Trust, Freedom Copy-Left, License",,,,,,,,
0/0/14,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sustainable Web Ecosystem Design is important for...,,,,,,,,,
,,,,,,,,,
"Open for freedom of speech, but protected for children and youth",,,,,,,,,
"Effective for government, but policed of abuse of power, political terrorism, etc.",,,,,,,,,
"Medically, physiologically, emotionally healthy for individuals and society",,,,,,,,,
"Productive for business, but Safe from identity theft, financial crime",,,,,,,,,
"Freely, equally Accessible to all: social digital divide, access digital divide, the disabled",,,,,,,,,
Environmentally safe and conservative,,,,,,,,,
"Education: Omnipresent, open teaching, learning, research",,,,,,,,,
"Creative, innovative heights, human progress",,,,,,,,,
